id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
269	coherent gain	-0.3977	0.2372	5	9	98	5	2019	1	1.473
270	cohesive device	-0.7016	-0.332	2	3	49	7	2019	0	0
271	combustion	0.2478	0.5573	14	95	609	27	2019	1.4444	2.1276
272	combustion process	0.121	0.5353	14	55	272	12	2019	1.6667	2.455
273	comment	-0.933	-0.1697	2	25	96	5	2019	0	0
274	communal septic tank	0.1255	0.052	10	5	41	6	2019	1	1.473
275	communication system	-0.5122	0.0562	5	27	167	15	2019	0.2667	0.3928
276	community participation	-0.8977	-0.113	8	26	86	9	2019	1	1.473
277	competency	-0.848	-0.1944	15	21	118	9	2019	0	0
278	complaint	-0.6596	-0.1475	16	29	261	18	2019	0.1111	0.1637
279	composite	0.7684	0.0007	1	222	2349	127	2019	0.9843	1.4498
280	composite brake pad	0.5911	0.3386	7	8	120	5	2019	0	0
281	composite material	0.2378	-0.153	13	55	231	13	2019	1.3077	1.9262
282	compressive strength	0.6982	-0.0033	1	86	705	30	2019	0.6333	0.9329
283	compressor	-0.2299	0.3955	7	23	100	10	2019	0	0
284	computation time	-0.4552	0.1157	6	19	68	6	2019	0.6667	0.982
285	computational fluid dynamic	-0.014	0.4507	7	53	158	9	2019	0.5556	0.8183
286	computer	-0.6451	-0.1037	8	60	222	17	2019	0.5294	0.7798
287	computer system	-0.8362	-0.1217	8	21	97	5	2019	0.4	0.5892
288	concept drift	-0.804	-0.3597	2	5	45	5	2019	0	0
289	concrete column	0.4827	0.0078	1	10	40	7	2019	1.2857	1.8938
290	consensus	-0.2508	0.0376	6	7	55	7	2019	0	0
291	consolidation	1.1799	-0.701	11	1	10	5	2019	0	0
292	consortium	0.914	-0.3884	11	40	227	9	2019	0.2222	0.3273
293	contact time	0.9967	-0.1143	11	52	257	14	2019	0.9286	1.3678
294	contaminated soil	0.9394	-0.3869	11	34	217	8	2019	2.125	3.1301
295	context	-0.9253	-0.1233	6	44	159	16	2019	1	1.473
296	contract	-0.7119	-0.0005	15	32	149	18	2019	0.1667	0.2455
297	contractor	-0.7598	-0.0215	15	4	56	7	2019	0	0
298	contrary	0.162	0.0192	12	40	88	6	2019	0.8333	1.2275
299	control chart	-0.979	0.0709	3	17	161	16	2019	0.3125	0.4603
300	control flow pattern	-0.8801	0.0752	3	10	59	5	2019	1.6	2.3568
301	control limit	-0.9869	0.0607	3	16	87	7	2019	0.5714	0.8417
302	convolutional neural network	-0.6881	-0.114	2	44	156	26	2019	0.3462	0.5099
303	cooling	0.1168	0.1166	13	47	218	11	2019	1.1818	1.7408
304	copper	0.5851	-0.0528	11	92	277	16	2019	0.5625	0.8286
305	corn production	-0.6901	0.0538	8	12	56	7	2019	0	0
306	corn productivity	-0.6775	0.044	8	10	49	9	2019	1.6667	2.455
307	corona	-0.1469	0.0705	5	9	85	5	2019	0	0
308	corpus	-0.8962	-0.2358	2	21	101	8	2019	0	0
309	corrosion	0.7952	-0.116	11	82	585	33	2019	1.5455	2.2764
310	corrosion rate	0.8239	0.1278	11	39	285	18	2019	0.1667	0.2455
311	cosine similarity	-0.9369	-0.1974	2	25	89	7	2019	0.1429	0.2104
312	covariate	-1.1321	0.1769	3	10	76	7	2019	0	0
313	cox phm	-0.9923	0.0812	3	13	176	7	2019	0.5714	0.8417
314	cpm	-0.8005	-0.4567	19	3	45	5	2019	0	0
315	cpw	1.1857	-0.4222	9	31	305	10	2019	1.5	2.2095
316	crazypso	-0.4368	-0.1367	8	9	63	6	2019	0	0
317	crime	-0.8729	-0.1007	2	12	27	9	2019	0	0
318	cristobalite	1.0893	0.1103	1	54	221	9	2019	1.8889	2.7823
319	crop	-0.5745	0.1655	3	18	75	6	2019	0	0
320	cross validation	-1.0377	0.1131	3	72	231	16	2019	0.3125	0.4603
321	crude oil	0.7344	-0.2815	11	52	471	24	2019	1.25	1.8412
322	crude palm oil	1.0268	0.0639	4	20	72	5	2019	0	0
323	crystal structure	0.9685	0.0843	1	78	187	8	2019	0	0
324	crystallinity	1.0227	-0.0401	1	123	453	17	2019	0.2353	0.3466
325	crystallite size	0.964	0.1471	1	60	156	8	2019	1.25	1.8412
326	crystallization	0.9672	-0.166	9	41	139	10	2019	0.1	0.1473
327	ctab	1.0532	0.0104	1	44	129	5	2019	0.2	0.2946
328	ctq	-0.0301	-0.3033	13	34	202	5	2019	0	0
329	culture	0.517	-0.392	9	104	427	26	2019	1.7692	2.6061
330	current density	0.3267	0.1071	5	59	141	10	2019	3	4.419
331	current study	-0.7898	0.046	3	18	47	7	2019	5.4286	7.9962
332	customer satisfaction	-1.1065	-0.1866	2	28	111	11	2019	1.8182	2.6782
333	customized software	-0.6181	-0.112	8	5	30	5	2019	0	0
334	cut	0.0028	-0.2536	13	43	474	15	2019	0.7333	1.0802
335	cvt	-0.0489	0.2803	12	9	162	9	2019	0	0
336	cwwtp	0.1445	0.1313	12	5	49	7	2019	0	0
337	cybersickness	-0.8696	-0.1253	3	7	90	6	2019	0	0
338	cyclic voltammetry	0.6752	-0.0131	16	27	72	6	2019	1	1.473
339	cylinder	0.034	0.6017	7	82	429	26	2019	1.1154	1.6429
340	d m	0.9902	-0.4043	4	14	156	6	2019	1	1.473
341	dairy cow	0.1368	-0.1151	6	8	87	9	2019	0	0
342	data hiding	-0.6886	0.0012	5	24	117	12	2019	0.1667	0.2455
343	data security	-0.8534	-0.0483	5	26	76	6	2019	0.3333	0.491
344	data set	-0.8345	-0.0246	3	51	160	16	2019	0.4375	0.6444
345	db tmf system	0.361	0.012	1	3	24	6	2019	0	0
346	dbm	0.6465	0.1941	16	13	70	5	2019	0	0
347	dc dc converter	-0.0189	0.1469	6	16	53	6	2019	0.3333	0.491
348	dc voltage	0.0401	0.1485	6	18	30	5	2019	1	1.473
349	ddt	0.5757	-0.55	9	9	121	7	2019	2	2.946
350	dec	1.3375	-0.1007	18	24	161	9	2019	0.1111	0.1637
351	december	-0.386	0.1027	10	23	73	6	2019	0	0
352	decision maker	-0.754	-0.0439	8	37	125	7	2019	0.2857	0.4209
353	decision support system	-0.8121	-0.0519	2	26	104	10	2019	0	0
354	decision tree	-0.899	-0.1315	2	34	102	8	2019	0.25	0.3682
355	decreasing	0.5219	0.0425	11	43	105	6	2019	0.5	0.7365
356	defect	0.365	-0.0273	6	77	376	22	2019	0.1364	0.2009
357	deg	-0.0229	0.4677	7	12	133	11	2019	0	0
358	degradation	0.7126	-0.2021	9	213	983	47	2019	1.5532	2.2878
359	delamination	0.0746	-0.2312	13	42	460	20	2019	1.65	2.4304
360	dengue case	-0.6624	-0.1852	3	3	40	5	2019	1	1.473
361	dependent variable	-0.8925	0.1438	3	40	103	9	2019	0.4444	0.6547
362	deposit insurance	-0.7841	0.2216	8	5	59	7	2019	0	0
363	deposit insurance premium	-0.7804	0.2202	8	5	67	9	2019	0	0
364	depth	-0.2182	0.1109	13	114	971	72	2019	0.5278	0.7774
365	des	0.7565	-0.4081	4	22	202	7	2019	0.5714	0.8417
366	design pattern	-0.9938	-0.048	5	5	83	10	2019	0.3	0.4419
367	destination	-0.8948	0.0314	8	22	64	7	2019	0.4286	0.6313
368	determinant	-1.1306	-0.0298	3	26	109	10	2019	2.9	4.2717
369	diesel	0.2873	0.2303	14	66	394	20	2019	4.05	5.9656
370	diesel engine	0.0831	0.5427	14	58	371	23	2019	0.6087	0.8966
371	diesel fuel	0.0263	0.3918	14	41	133	10	2019	0.4	0.5892
372	diethyl carbonate	1.3361	-0.0995	18	24	136	8	2019	0.25	0.3682
373	difference expansion	-0.751	-0.0084	5	20	70	8	2019	2.75	4.0507
374	digital image	-0.7332	-0.0098	5	19	41	6	2019	3	4.419
375	digital wallet	-0.9621	-0.0653	8	6	45	5	2019	0	0
376	direct flaming	0.9155	0.1697	1	10	108	6	2019	0	0
377	diversity	-0.1434	0.0697	5	57	368	30	2019	0.2333	0.3437
378	dma	0.6957	-0.0308	1	45	153	9	2019	1.6667	2.455
379	dmaaps	1.2821	-0.0814	11	9	151	10	2019	2.5	3.6825
380	dmf	1.2466	-0.0539	1	47	187	7	2019	0	0
381	dna	-0.4296	-0.1244	2	26	136	11	2019	0	0
382	dnn	-0.8178	0.0756	3	28	253	15	2019	0.0667	0.0982
383	document	-0.8869	-0.1249	2	64	445	42	2019	0.1667	0.2455
384	doppler effect	-0.4959	0.125	5	10	128	8	2019	0	0
385	downstream	-0.2187	0.4797	10	40	126	6	2019	0.3333	0.491
386	drag coefficient	-0.1399	0.8593	7	9	110	5	2019	0	0
387	drawback	-0.8108	0.0398	3	33	81	10	2019	0.7	1.0311
388	drilling machine	0.0397	-0.2397	17	11	210	5	2019	0	0
389	drilling process	0.0665	-0.2389	13	42	344	10	2019	0.8	1.1784
390	drilling string	0.1074	-0.0124	17	6	216	12	2019	0	0
391	drought	-0.6311	0.0644	10	44	320	20	2019	1.95	2.8723
392	drug	-0.1963	-0.1742	2	23	88	7	2019	0	0
393	dry season	-0.1641	0.1614	10	38	105	10	2019	0.4	0.5892
394	dssc	0.9739	0.14	1	33	301	17	2019	0.1176	0.1733
395	dual fuel diesel engine	0.1915	0.5858	14	43	257	12	2019	1.3333	1.964
396	dual fuel engine	0.1507	0.6208	14	53	484	24	2019	1.6667	2.455
397	duct	-0.0367	0.7097	7	18	184	10	2019	0.6	0.8838
398	ductility	0.4349	0.0017	1	18	57	8	2019	0	0
399	ducting	0.0332	0.6851	7	20	121	6	2019	0.6667	0.982
400	ducting system	-0.0383	0.6998	7	13	115	5	2019	0.2	0.2946
401	duration time	-0.0579	-0.0039	11	27	127	8	2019	0.375	0.5524
402	dut	0.904	-0.0319	1	11	117	9	2019	0	0
403	dva	0.2357	-0.2542	17	18	171	7	2019	1.1429	1.6834
404	dwelling time	-0.3965	0.0524	2	23	128	11	2019	0.7273	1.0713
405	dye	0.8397	-0.2063	9	111	541	29	2019	1.3448	1.9809
406	dye sensitized solar cell	0.9944	0.1472	1	28	136	7	2019	0.1429	0.2104
407	dynamic mechanical property	1.0708	-0.0418	1	28	87	5	2019	0.4	0.5892
408	dynamic positioning mode	-0.6193	0.2714	10	1	6	6	2019	0	0
409	e commerce	-1.0614	-0.2131	2	29	89	11	2019	0.2727	0.4017
410	e government	-1.0546	-0.1925	8	12	109	19	2019	0.1053	0.1551
411	e government service	-1.0659	-0.1432	8	7	46	8	2019	0	0
412	e leadership	-1.0449	-0.2265	8	6	75	5	2019	0	0
413	e nose	-0.3667	-0.0805	2	12	43	8	2019	4.875	7.1808
414	east coast	0.3335	0.0009	12	15	82	5	2019	0	0
415	east nusa tenggara	-0.6429	0.0943	3	36	127	9	2019	2.2222	3.2733
416	ecc	-0.0392	-0.017	1	8	54	6	2019	4	5.8919
417	ecg	-0.607	-0.1061	17	23	60	6	2019	0	0
418	ecg signal	-0.5317	-0.099	17	8	66	8	2019	0	0
419	ecological footprint	-0.6066	0.0882	8	9	62	5	2019	0	0
420	ecosystem service	-0.4333	0.1705	10	5	36	6	2019	0	0
421	edt	-0.8495	-0.1127	5	3	30	5	2019	0	0
