id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
231	focus	-0.4082	0.1255	3	136	351	29	2019	0.3448	0.3515
232	formula	-0.2045	0.0707	2	124	655	52	2019	1.3654	1.3918
233	formulation	0.4862	-0.0026	1	124	500	34	2019	1.1471	1.1693
234	fourier	1.231	-0.1727	1	102	346	19	2019	2.4737	2.5216
235	fpga	-0.7662	-0.4609	2	41	113	12	2019	0.6667	0.6796
236	fractal dimension	0.1806	-0.0777	7	36	397	27	2019	0.4815	0.4908
237	frame	-0.5015	-0.2635	2	68	247	25	2019	0.28	0.2854
238	framework	-0.8112	0.0187	3	191	1364	127	2019	1.5276	1.5571
239	freedom	-0.0395	-0.1841	5	52	169	10	2019	0.9	0.9174
240	frequency	-0.2661	-0.3707	6	282	2139	185	2019	0.3892	0.3967
241	frequency range	-0.1411	-0.6416	6	71	280	20	2019	0.3	0.3058
242	fruit	0.6197	-0.2023	1	48	245	22	2019	1.5	1.5291
243	ftir	1.0739	-0.1272	1	146	775	44	2019	2.2955	2.3399
244	fuel	0.4089	0.2504	8	109	764	56	2019	1.3929	1.4198
245	further study	-0.1739	0.6342	4	67	144	11	2019	1.7273	1.7607
246	fuzzy logic	-0.3213	-0.3868	5	19	105	13	2019	0.4615	0.4705
247	g ml	1.3203	-0.0514	1	50	205	17	2019	1.1765	1.1993
248	gain	-0.1756	-0.5525	6	96	441	44	2019	0.5682	0.5792
249	galaxy	-0.2249	0.3425	7	48	316	32	2019	0.4375	0.446
250	game	-1.0941	0.0097	3	49	595	41	2019	0.1707	0.174
251	garlic	1.3656	-0.1229	1	23	307	16	2019	1.6875	1.7202
252	gas	0.5009	-0.1063	1	185	1005	73	2019	1.0822	1.1032
253	geopolymer	0.9095	0.1134	1	25	200	15	2019	3.2667	3.3299
254	geothermal system	0.0877	0.4225	4	32	119	18	2019	0.3889	0.3964
255	ghz	-0.1894	-0.7789	6	99	1079	82	2019	0.1585	0.1616
256	glucose	0.7211	-0.0912	1	72	162	13	2019	1.3846	1.4114
257	gnss	-0.3669	0.3343	4	51	206	22	2019	0.3636	0.3707
258	goal	-0.7447	-0.0789	3	162	588	41	2019	1.5366	1.5663
259	government	-0.7699	0.1775	3	162	673	63	2019	0.7619	0.7767
260	graph	-0.5236	-0.1048	2	95	444	69	2019	0.4348	0.4432
261	graphene	1.2499	-0.2246	1	54	234	20	2019	2.5	2.5484
262	graphene oxide	1.3902	-0.3101	1	41	315	14	2019	3	3.0581
263	gravity	-0.4051	0.2555	8	38	149	23	2019	0.0435	0.0443
264	grid	-0.5286	-0.1432	3	76	404	43	2019	0.3488	0.3556
265	groundwater	-0.2843	0.5152	4	38	139	12	2019	6	6.1162
266	haps	-0.7615	-0.4767	2	41	306	23	2019	0	0
267	hardness	1.069	-0.171	1	50	451	22	2019	0.1364	0.139
268	harmony	-0.3833	0.007	2	21	195	11	2019	0.2727	0.278
269	hate speech	-1.063	-0.2627	2	21	205	19	2019	0.4737	0.4829
270	head	-0.2323	-0.2202	2	40	231	19	2019	1.8947	1.9314
271	health condition	-0.3649	-0.2553	5	45	136	17	2019	0.0588	0.06
272	heat	0.4771	0.2128	1	104	437	31	2019	3.4839	3.5513
273	heavy metal	0.6832	0.4604	9	48	188	13	2019	1.3846	1.4114
274	height	-0.207	0.5555	4	175	932	75	2019	2.8133	2.8678
275	high temperature	0.9666	-0.17	1	94	397	26	2019	1.4615	1.4898
276	high voltage equipment	0.295	-0.5043	5	29	170	10	2019	0.6	0.6116
277	highest accuracy	-0.5608	-0.3622	2	53	132	13	2019	1.7692	1.8035
278	hour	0.5509	-0.1267	1	244	1374	86	2019	1.314	1.3394
279	household	-0.2375	0.301	3	65	206	15	2019	0.4	0.4077
280	hydrogen	0.733	-0.0288	1	63	181	14	2019	3.5714	3.6406
281	iii	0.441	0.2043	1	71	251	30	2019	1.7	1.7329
282	implication	-0.7588	0.2749	3	145	708	39	2019	0.8718	0.8887
283	important factor	0.2151	-0.0623	8	95	230	12	2019	0.8333	0.8495
284	important parameter	0.1567	-0.2421	8	77	180	11	2019	0.4545	0.4633
285	incorporation	0.5181	-0.3513	6	87	268	17	2019	1.2941	1.3192
286	indian ocean	-0.2652	1.0493	4	43	199	14	2019	2.1429	2.1844
287	indicator	-0.6577	0.1794	3	146	717	54	2019	1.0185	1.0382
288	indonesian	-0.9008	-0.2305	2	42	105	10	2019	0.1	0.1019
289	indonesian language	-1.0929	-0.2947	2	36	173	12	2019	0.25	0.2548
290	information system	-0.6592	-0.0445	3	63	184	33	2019	0.1212	0.1236
291	information technology	-0.9215	0.0881	3	40	92	10	2019	0.4	0.4077
292	initial model	-0.1684	0.1	4	27	88	12	2019	0	0
293	injection	0.8398	0.2471	1	90	710	49	2019	0.1633	0.1664
294	innovation	-1.0059	0.0761	3	71	323	34	2019	0.3235	0.3298
295	insulation	0.2567	-0.4276	5	121	1228	89	2019	0.1685	0.1718
296	intensity	0.2288	0.0035	6	201	923	68	2019	0.7353	0.7495
297	interfacial tension	1.0653	-0.002	1	59	453	18	2019	0.7222	0.7362
298	interference	-0.6208	-0.3147	2	76	271	29	2019	0.8966	0.9139
299	internet	-0.8309	-0.1701	2	122	531	45	2019	0.6	0.6116
