9	1018	1
9	1688	1
9	1789	1
9	1988	1
9	2005	1
9	2448	1
9	2899	1
9	4407	1
9	4469	1
9	4669	1
10	110	1
10	964	1
10	2254	1
25	970	2
25	3032	3
25	3208	2
25	4196	1
26	110	1
26	118	1
26	834	1
26	1581	1
26	1705	1
26	1964	1
26	2077	1
26	2304	1
26	2425	1
26	2627	1
26	2843	1
26	2960	1
26	3888	1
26	3905	1
26	4007	1
26	4072	1
26	4137	1
26	4226	1
26	4233	1
26	4303	1
26	4370	1
26	4424	1
26	4805	1
35	1494	1
35	1609	1
35	1750	1
35	2052	1
35	2542	1
35	3661	1
56	319	1
56	1027	1
56	1276	3
56	1288	2
56	1914	4
56	1981	3
56	2532	3
56	2926	2
56	2988	3
56	3659	4
56	3823	4
56	3896	4
56	4546	3
56	4559	1
56	4566	4
62	1762	1
62	3142	1
62	3739	1
62	4405	1
70	1494	1
70	1609	1
70	1750	1
70	2052	1
70	2542	1
70	3661	1
73	137	2
73	331	2
73	3351	2
74	825	1
74	2344	1
74	3248	1
84	587	1
84	1307	1
84	1668	1
110	482	1
110	594	1
110	964	2
110	1165	1
110	1528	1
110	2254	2
110	2998	1
110	3936	1
110	4518	1
115	502	1
115	1390	1
115	2382	1
118	482	1
118	594	1
118	3936	1
128	344	1
128	413	1
128	769	1
128	996	1
128	1779	1
128	2153	1
128	3864	1
128	3879	1
128	4217	1
128	4715	1
134	179	1
134	1680	1
134	2707	1
134	2708	1
134	3664	1
137	331	4
137	3351	2
179	1680	1
179	2708	1
179	3664	1
189	255	1
189	727	1
189	1656	1
189	2209	1
210	446	1
210	479	1
210	4072	1
210	4368	1
255	727	2
255	1656	1
255	2209	2
255	3308	1
255	3317	1
311	400	1
311	520	1
311	1757	1
311	1900	1
311	3008	1
319	1276	1
319	1288	1
319	1914	1
319	1981	1
319	2532	1
319	2926	1
319	2988	1
319	3659	1
319	3823	1
319	3896	1
319	4546	1
319	4566	1
322	4149	1
322	4693	1
322	4948	1
331	3351	4
344	358	1
344	2152	1
344	2901	1
344	3864	1
344	3891	1
344	3911	1
344	4449	1
344	4606	1
344	4843	1
344	4960	1
358	413	1
358	769	1
358	996	1
358	1779	1
358	2153	1
358	3864	1
358	3879	1
358	4217	1
358	4715	1
376	1132	1
376	2025	1
376	2604	1
380	1134	2
380	1540	1
380	2339	1
380	3272	1
380	3287	1
380	3380	1
380	3603	2
380	4165	1
400	520	1
400	1900	1
408	1151	1
408	2122	1
410	901	1
410	1439	1
410	2774	1
410	4344	1
410	4345	1
410	4625	1
410	4626	1
410	4717	1
413	2152	1
413	2901	1
413	3864	1
413	3891	1
413	3911	1
413	4449	1
413	4606	1
413	4843	1
413	4960	1
446	479	2
446	2034	1
446	2582	1
446	2854	1
446	4072	2
446	4368	1
446	4369	1
466	587	1
466	1307	1
466	1668	1
479	2034	1
479	2582	1
479	2854	1
479	4072	2
479	4368	1
479	4369	1
482	834	1
482	1581	1
482	1705	1
482	1964	1
482	2077	1
482	2304	1
482	2425	1
482	2627	1
482	2843	1
482	2960	1
482	3888	1
482	3905	1
482	4007	1
482	4072	1
482	4137	1
482	4226	1
482	4233	1
482	4303	1
482	4370	1
482	4424	1
482	4805	1
486	1776	1
486	2063	1
486	3480	1
486	3624	1
486	4165	1
486	4522	1
502	641	1
502	1390	1
513	4149	1
513	4693	1
513	4948	1
520	1757	1
520	1900	2
520	3008	1
564	1926	1
564	1927	1
564	2362	1
586	587	1
586	2529	1
586	3777	1
587	1302	3
587	1307	4
587	1668	4
587	2529	6
587	2607	1
587	3777	2
587	4797	1
589	1076	1
589	2644	1
589	2915	1
589	3890	1
589	4816	1
594	834	1
594	1581	1
594	1705	1
594	1964	1
594	2077	1
594	2304	1
594	2425	1
594	2627	1
594	2843	1
594	2960	1
594	3888	1
594	3905	1
594	4007	1
594	4072	1
594	4137	1
594	4226	1
594	4233	1
594	4303	1
594	4370	1
594	4424	1
594	4805	1
639	1776	1
639	2063	1
639	3480	1
639	3624	1
639	4165	1
639	4522	1
641	1390	1
641	2382	1
665	1662	2
665	2711	1
665	3925	1
665	3978	2
665	4220	1
667	990	1
667	1274	2
667	1318	1
667	1368	1
667	1369	1
667	1566	2
667	1606	1
667	1607	1
667	1977	2
667	2166	2
667	2186	2
667	2509	2
667	2523	2
667	3586	2
667	3742	2
667	4286	1
676	715	2
676	747	2
676	788	1
676	862	2
676	1918	1
676	2033	2
676	2900	2
676	3015	2
676	4619	1
676	4622	2
677	1643	1
677	1943	1
677	3623	3
677	3783	1
677	4002	1
677	4141	1
677	4529	2
681	795	1
681	836	1
681	1639	1
681	1795	1
681	2112	1
681	2168	1
681	2196	1
681	2508	1
681	2561	1
681	2918	1
681	3498	1
681	3632	1
681	4115	1
681	4154	1
700	1003	1
700	1152	1
700	1990	1
700	2091	1
700	4846	1
715	747	2
715	788	1
715	862	2
715	1918	1
715	2033	2
715	2900	2
715	3015	2
715	4619	1
715	4622	2
727	1656	1
727	2209	2
727	3308	1
727	3317	1
737	1076	1
737	2644	1
737	2915	1
737	3890	1
737	4816	1
747	788	1
747	862	2
747	1918	1
747	2033	2
747	2900	2
747	3015	2
747	4619	1
747	4622	2
756	1076	1
756	2644	1
756	2915	1
756	3890	1
756	4816	1
769	2152	1
769	2901	1
769	3864	1
769	3891	1
769	3911	1
769	4449	1
769	4606	1
769	4843	1
769	4960	1
788	862	1
788	1918	1
788	2033	1
788	2900	1
788	3015	1
788	4619	1
788	4622	1
795	836	1
795	1639	2
795	1795	1
795	2112	1
795	2168	1
795	2196	1
795	2508	1
795	2561	1
795	2918	1
795	3498	1
795	3632	2
795	4115	2
795	4154	2
825	2344	1
825	2768	1
834	3936	1
836	1639	1
836	3632	1
836	4115	1
836	4154	1
862	1918	1
862	2033	2
862	2900	2
862	3015	2
862	4619	1
862	4622	2
866	1018	1
866	1688	1
866	1789	1
866	1988	1
866	2005	1
866	2448	1
866	2899	1
866	4407	1
866	4469	1
866	4669	1
898	4149	1
898	4693	1
898	4948	1
901	1439	1
901	4345	1
901	4626	1
901	4717	1
964	1165	1
964	1528	1
964	2254	2
964	2998	1
964	4518	1
967	1076	1
967	2644	1
967	2915	1
967	3890	1
967	4816	1
970	3032	2
970	3208	2
990	1274	1
990	1368	1
990	1566	1
990	1607	1
990	1977	1
990	2166	1
990	2186	1
990	2509	1
990	2523	1
990	3586	1
990	3742	1
996	2152	1
996	2901	1
996	3864	1
996	3891	1
996	3911	1
996	4449	1
996	4606	1
996	4843	1
996	4960	1
1003	1989	1
1003	2091	1
1003	3682	1
1003	4846	1
1005	1890	1
1005	3116	1
1005	3216	1
1005	4778	1
1018	1688	1
1018	1789	3
1018	1947	1
1018	1988	1
1018	2005	1
1018	2448	1
1018	2899	1
1018	3645	1
1018	4407	1
1018	4469	1
1018	4669	1
1021	2033	1
1021	3737	1
1021	3954	1
1024	1031	1
1024	1134	2
1024	1699	1
1024	1738	1
1024	3380	1
1024	3603	2
1024	4517	1
1027	1276	1
1027	1288	1
1027	1914	1
1027	1981	1
1027	2532	1
1027	2926	1
1027	2988	1
1027	3659	1
1027	3823	1
1027	3896	1
1027	4546	1
1027	4566	1
1031	1134	1
1031	3603	1
1054	2901	1
1054	3911	1
1054	4606	1
1054	4843	1
1054	4960	1
1056	1057	1
1056	2091	1
1056	4281	1
1057	2091	1
1057	4493	1
1064	1284	1
1064	1551	2
1064	2615	1
1064	3118	2
1064	3301	2
1064	3661	2
1064	4760	1
1064	4899	1
1073	1776	1
1073	2063	1
1073	3480	1
1073	3624	1
1073	4165	1
1073	4522	1
1076	1160	1
1076	1962	1
1076	2018	1
1076	2200	1
1076	2644	1
1076	2915	1
1076	3570	1
1076	3708	1
1076	3890	1
1076	4083	1
1076	4084	1
1076	4434	1
1076	4591	1
1076	4663	1
1076	4676	1
1076	4755	1
1076	4798	1
1076	4816	1
1101	1494	1
1101	1609	1
1101	1750	1
1101	2052	1
1101	2542	1
1101	3661	1
1132	2025	1
1132	2604	1
1132	3727	1
1134	1540	1
1134	1699	1
1134	1738	1
1134	1776	1
1134	2063	1
1134	2339	1
1134	3272	2
1134	3287	1
1134	3380	3
1134	3480	1
1134	3603	10
1134	3624	1
1134	4165	2
1134	4517	1
1134	4522	1
1151	2122	1
1152	1989	1
1152	2091	1
1152	3682	1
1152	4846	1
1160	2644	1
1160	2915	1
1160	3890	1
1160	4816	1
1165	2254	1
1173	1875	1
1173	1942	1
1173	3894	1
1173	4054	2
1173	4447	1
1173	4978	2
1195	2759	1
1195	2979	1
1272	1551	2
1272	2591	1
1272	3118	1
1272	3661	2
1272	3764	1
1272	4091	2
1272	4760	2
1274	1318	1
1274	1368	1
1274	1369	1
1274	1566	2
1274	1606	1
1274	1607	1
1274	1977	2
1274	2166	2
1274	2186	2
1274	2509	2
1274	2523	2
1274	3586	2
1274	3742	2
1274	4286	1
1276	1288	1
1276	1914	3
1276	1981	2
1276	2532	2
1276	2926	1
1276	2988	2
1276	3659	3
1276	3823	3
1276	3896	3
1276	4546	2
1276	4559	1
1276	4566	3
1284	1551	1
1284	2264	1
1284	2346	1
1284	3118	1
1284	3661	1
1284	4760	1
1287	2033	1
1287	3737	1
1287	3954	1
1288	1914	2
1288	1981	1
1288	2532	1
1288	2988	1
1288	3659	2
1288	3823	2
1288	3896	2
1288	4546	1
1288	4559	1
1288	4566	2
1300	4068	1
1302	1307	3
1302	1668	3
1307	2529	4
1307	2607	1
1307	3777	1
1318	1368	1
1318	1566	1
1318	1607	1
1318	1977	1
1318	2166	1
1318	2186	1
1318	2509	1
1318	2523	1
1318	3586	1
1318	3742	1
1331	1645	2
1331	2677	2
