21	853	1
21	1273	1
28	1169	1
28	1224	1
28	1410	1
78	220	1
78	688	1
78	921	1
78	1131	1
156	1169	1
156	1224	1
156	1410	1
166	868	3
166	888	1
166	1086	4
179	262	1
179	889	1
179	1108	1
179	1213	1
187	408	1
187	1054	1
187	1378	1
220	688	1
220	921	1
220	1131	1
225	683	1
225	861	1
225	1118	1
239	643	2
239	1399	2
249	853	1
249	1273	1
262	281	1
262	401	1
262	407	1
262	889	2
262	1037	1
262	1108	1
262	1212	1
262	1213	1
262	1214	1
262	1350	1
267	402	2
267	721	1
267	988	2
267	1280	1
281	889	1
281	1108	1
281	1213	1
291	431	2
291	804	2
291	1378	2
291	1386	1
355	437	1
355	586	1
355	1116	1
355	1190	1
401	889	1
401	1108	1
401	1213	1
402	721	1
402	988	2
402	1280	1
407	889	1
407	1108	1
407	1213	1
408	431	2
408	804	2
408	1054	2
408	1378	3
408	1386	1
423	853	1
423	1273	2
431	685	2
431	856	2
431	1200	2
431	1378	2
437	1116	1
437	1185	1
437	1190	1
461	804	2
461	1054	2
586	1116	1
586	1185	1
586	1190	1
643	1399	2
683	861	1
683	1124	1
685	804	2
685	1378	2
685	1386	1
721	988	1
797	853	1
797	1273	2
804	856	2
804	1054	2
804	1200	2
804	1378	2
853	1273	4
853	1392	1
856	1378	2
856	1386	1
861	1118	1
861	1124	1
868	888	1
868	1086	3
888	1086	1
889	1037	1
889	1108	1
889	1212	1
889	1213	1
889	1214	1
889	1350	1
988	1280	1
1021	1169	1
1021	1224	1
1021	1410	1
1037	1108	1
1037	1213	1
1054	1378	1
1108	1212	1
1108	1214	1
1108	1350	1
1116	1185	1
1116	1190	2
1118	1124	1
1169	1224	2
1169	1270	1
1169	1410	3
1185	1190	1
1200	1378	2
1200	1386	1
1212	1213	1
1213	1214	1
1213	1350	1
1224	1270	1
1224	1410	3
1270	1410	1
1273	1392	1
1378	1386	1
