6	156	1
6	186	2
24	55	1
34	174	1
34	191	1
36	315	1
38	266	1
41	285	1
46	530	1
47	655	1
57	468	1
66	415	1
67	674	1
68	98	1
70	508	1
79	292	1
79	344	1
79	437	1
80	122	2
80	529	1
85	375	1
86	372	1
98	262	1
98	667	1
100	299	1
114	149	1
117	444	1
119	178	1
133	516	1
135	343	1
139	144	1
144	332	1
147	311	1
147	440	1
147	618	1
147	623	1
147	626	1
147	629	1
153	198	1
153	346	1
160	492	1
174	191	1
174	239	1
198	346	1
202	431	1
212	283	1
254	668	1
262	324	1
262	359	1
264	279	1
271	352	1
271	611	1
283	367	2
283	608	1
299	599	1
305	431	1
310	322	2
316	344	1
322	357	1
324	332	1
329	343	2
343	400	3
343	478	4
343	645	2
343	672	1
344	664	1
357	651	1
429	464	1
440	618	1
440	623	1
440	626	1
440	629	1
480	558	1
491	501	1
508	626	1
520	628	1
552	553	1
612	650	1
623	629	1
626	629	1
