5	307	1
14	25	1
15	203	1
15	499	1
20	483	1
21	175	1
47	362	1
48	51	1
50	149	1
57	463	1
63	110	1
65	480	1
85	209	2
85	495	1
90	357	1
109	333	1
116	161	1
116	245	1
116	467	1
121	251	1
128	207	1
142	155	1
142	307	2
144	151	1
147	252	1
155	307	1
158	300	1
158	471	1
162	281	1
163	251	1
170	252	1
175	398	1
203	218	1
203	499	1
245	482	1
246	444	2
252	305	1
252	390	1
252	462	1
252	463	1
263	500	1
272	359	1
272	379	1
281	385	1
297	390	1
297	462	1
299	324	1
300	471	1
305	342	1
307	368	1
307	386	2
307	416	1
307	447	2
307	488	1
309	360	1
311	500	1
342	461	1
363	463	1
398	452	1
449	500	1
