8	101	1
21	71	1
21	312	2
26	41	1
26	82	2
26	127	1
26	152	1
26	155	2
26	170	6
26	240	1
26	243	2
29	221	1
37	127	1
47	163	1
50	175	1
59	210	1
69	184	1
72	99	1
72	301	1
73	108	1
74	93	1
74	127	1
74	189	2
89	189	2
89	194	4
99	241	1
103	148	1
104	105	1
108	133	1
108	198	2
108	307	2
113	175	1
114	132	1
114	148	1
114	278	2
114	312	1
123	148	1
125	261	1
127	164	1
129	175	1
141	175	1
148	272	7
148	312	1
150	159	1
150	202	1
152	169	1
152	170	1
155	243	1
163	175	2
164	210	1
174	311	1
175	187	1
175	221	1
189	194	1
197	198	1
199	272	2
210	278	1
240	286	1
258	319	1
272	312	2
