4	34	1
5	288	1
8	124	2
14	109	1
23	405	1
28	436	1
36	160	1
40	213	1
48	184	2
48	503	1
53	343	1
53	463	1
62	121	1
90	124	1
94	293	1
99	151	1
108	326	1
116	182	1
122	240	1
124	137	1
124	278	2
124	313	1
124	436	1
130	161	1
133	207	1
137	164	1
137	273	1
137	278	8
142	343	1
147	213	1
152	199	1
164	273	1
164	278	2
165	207	1
166	193	1
171	274	1
182	208	3
182	288	1
182	404	9
184	240	2
184	248	1
184	504	4
204	403	1
206	213	2
207	272	1
210	241	1
213	273	1
213	403	3
213	481	3
221	378	1
238	280	1
240	248	1
241	484	3
247	358	1
248	463	1
252	452	1
254	503	1
256	351	1
256	504	1
260	429	1
288	426	1
295	307	1
295	494	1
303	378	1
313	484	2
321	403	1
342	363	1
351	447	1
403	404	1
409	413	1
409	414	1
426	463	1
436	460	1
459	503	1
468	472	1
503	504	1
