3	500	1
4	42	1
5	25	1
8	18	1
18	321	2
42	213	1
42	351	1
42	472	1
42	505	1
44	344	1
49	276	1
51	52	1
54	229	1
54	311	2
54	382	1
54	392	2
54	441	1
54	554	1
54	578	1
64	429	1
106	129	1
107	150	1
107	383	1
128	132	1
143	322	2
147	427	1
150	406	1
157	404	1
167	407	1
174	311	2
188	552	1
195	428	1
213	311	1
213	382	1
224	322	3
229	394	2
254	429	1
255	302	1
255	333	1
264	312	1
282	560	1
302	369	1
311	334	1
322	351	3
328	520	1
369	452	1
383	419	1
394	451	1
394	554	1
424	425	1
425	554	1
475	519	1
535	554	1
