1	11	2
1	18	1
1	38	1
2	11	11
2	17	1
2	27	1
3	5	1
3	7	1
3	11	2
3	13	1
3	39	1
4	11	4
4	17	3
5	7	1
5	8	1
5	11	4
5	13	1
5	15	1
5	21	1
5	29	1
5	39	1
6	11	1
6	17	1
6	31	1
7	11	8
7	13	1
7	21	1
7	39	1
7	40	1
8	11	6
8	30	1
9	11	3
9	15	1
10	11	1
11	12	1
11	13	1
11	14	1
11	15	68
11	16	1
11	17	80
11	18	3
11	19	3
11	20	1
11	21	3
11	22	1
11	23	3
11	24	1
11	25	2
11	26	1
11	27	1
11	28	1
11	29	1
11	30	2
11	31	9
11	32	5
11	33	1
11	34	23
11	35	1
11	36	12
11	37	1
11	38	2
11	39	11
11	40	6
11	41	2
11	42	3
12	31	1
13	39	1
14	17	1
14	32	1
15	17	2
15	33	1
15	34	1
15	36	1
17	28	1
17	31	6
17	32	1
18	38	1
21	29	1
21	40	1
23	34	1
34	36	1
34	41	2
