3	10	1
3	23	1
3	26	2
3	32	1
3	36	1
3	54	1
4	26	3
4	54	3
10	23	2
10	26	5
10	32	2
10	36	5
10	46	1
10	51	1
10	54	2
10	62	1
10	63	1
10	65	1
10	68	2
19	26	2
23	26	2
23	32	2
23	36	2
23	46	1
23	51	1
23	54	2
23	62	1
23	63	1
23	65	1
25	26	2
25	28	1
25	36	2
26	28	2
26	32	8
26	36	36
26	41	2
26	42	1
26	45	1
26	46	1
26	50	1
26	51	1
26	54	9
26	62	4
26	63	1
26	64	2
26	65	12
26	68	2
28	36	2
28	68	1
32	36	2
32	46	1
32	51	1
32	54	2
32	62	1
32	63	1
32	64	1
32	65	3
36	46	1
36	50	1
36	51	1
36	54	3
36	62	1
36	63	1
36	64	1
36	65	4
36	68	2
46	54	1
50	54	1
51	54	1
54	62	1
54	63	1
54	65	2
64	65	1
