10	166	1
10	852	1
11	885	1
11	4009	1
23	174	1
23	309	1
23	3206	1
23	3242	1
23	3350	1
23	3625	1
24	1745	1
24	2109	1
61	1374	1
75	76	1
75	77	1
75	388	1
75	417	1
75	3077	1
76	78	1
76	90	1
76	416	1
76	3106	1
76	3831	1
77	78	1
77	90	1
77	416	1
77	3106	1
77	3831	1
78	388	1
78	417	1
78	3077	1
81	163	1
81	1949	1
81	3355	1
89	154	1
89	250	1
89	284	1
89	2401	1
89	3016	1
89	3480	1
89	3576	1
89	4213	1
90	388	1
90	417	1
90	3077	1
135	270	1
135	779	1
135	1018	1
135	1646	1
135	1659	1
135	1689	1
148	304	1
148	716	1
148	725	1
148	727	1
148	1233	1
148	2372	1
148	2599	1
148	2691	1
148	2692	1
148	3699	1
148	3700	1
148	3906	1
148	4077	1
148	4078	1
148	4087	1
148	4149	1
148	4170	1
150	1771	1
150	1776	1
150	2411	1
154	286	1
154	303	1
154	1913	1
154	3254	1
154	3473	1
162	163	1
162	164	1
162	1949	1
162	3313	1
162	3353	1
162	3354	1
162	3355	1
162	3506	1
163	1476	1
163	1948	1
163	2875	1
164	2379	1
164	2397	1
164	2399	1
164	3507	1
166	858	1
172	1391	1
172	2673	1
174	175	1
174	310	1
174	397	1
174	2081	1
174	3206	1
174	3242	1
174	3351	1
174	3709	1
175	309	1
175	3206	1
175	3242	1
175	3350	1
175	3625	1
193	270	1
193	272	1
193	779	1
193	1018	1
193	1646	1
193	1647	1
193	1654	1
193	1656	1
193	1659	1
193	1689	1
193	1692	1
193	1705	1
193	1706	1
193	1709	1
193	1710	1
198	199	1
198	253	1
198	850	1
198	864	1
198	867	1
199	850	1
199	853	1
199	864	1
199	865	1
199	866	1
199	868	1
224	2709	1
234	235	1
234	744	1
234	1816	1
234	1819	1
234	3027	1
234	3029	1
234	4018	1
235	236	1
235	743	1
235	1815	1
235	1817	1
235	1818	1
235	3026	1
235	3027	1
235	3028	1
235	4017	1
235	4018	1
236	744	1
236	1816	1
236	1819	1
236	3027	1
236	3029	1
236	4018	1
249	275	1
249	295	1
249	1231	1
249	2467	1
249	2502	1
249	2750	1
249	3014	1
249	3379	1
249	3481	1
249	3577	1
249	3585	1
249	3712	1
249	3812	1
249	3813	1
250	251	1
250	286	1
250	303	1
250	1913	1
250	2780	1
250	3254	1
250	3473	1
250	4230	1
251	814	1
251	1453	1
251	1544	1
251	3122	1
251	4229	1
251	4231	1
253	850	1
253	853	1
253	864	1
253	865	1
253	866	1
253	868	1
270	1654	1
270	1691	1
270	1705	1
272	1654	1
272	1710	1
273	1975	1
273	2834	1
273	4162	1
275	1869	1
275	2324	1
275	3482	1
275	3492	1
275	3669	1
275	4030	1
284	286	1
